numTriplets	MutationFrequency1	MutationFrequency0	Overlap	MutationFrequencyDifference	Type	AverageOverlapPMN	MutationFrequencyDifferenceRatio	typeTriplets	Coverage	SetScore	PermutationProbability	Concordance	CooccurrenceRatio	MutationFrequencies	Somatic	CombinedScore	GeneSet	Probability	Gene0	Gene1	RoundedLogPCov
145	12	6	3	6	Cooccurring	272.6666666666667	0.4	set(['CooccurringCooccurringCooccurring'])	15	27.29318255541169	0.01	False	0.2	[6, 12]	2	136.46591277705843	('CACNA1H', 'DNAH11')	6.9324133529369598e-05	CACNA1H	DNAH11	5.3
145	5	6	4	1	Cooccurring	217.75	0.14285714285714285	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	22.847487716624077	0.0	False	0.5714285714285714	[6, 5]	2	39.983103504092135	('C12orf35', 'FHOD3')	6.7766343946240094e-09	C12orf35	FHOD3	9.0
143	8	6	3	2	Cooccurring	272.6666666666667	0.18181818181818182	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	25.76796402605409	0.02	False	0.2727272727272727	[6, 8]	2	94.48253476219834	('PTPRS', 'ADCY1')	1.7871040338087056e-05	PTPRS	ADCY1	5.8
139	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringCooccurringCooccurring'])	7	23.44588151584754	0.0	False	0.42857142857142855	[5, 5]	2	54.70705687031093	('ZAN', 'PCDHB3')	1.6141960859580385e-06	ZAN	PCDHB3	6.6
134	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	25.521666864722114	0.01	False	0.375	[6, 5]	2	68.05777830592564	('DOCK8', 'C7')	3.2216155375246676e-06	DOCK8	C7	6.4
132	6	6	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	26.358586069633716	0.0	False	0.3333333333333333	[6, 6]	2	79.07575820890115	('DOCK8', 'PTPRS')	6.422946714174054e-06	DOCK8	PTPRS	6.1
130	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	25.38341280794011	0.02	False	0.375	[6, 5]	2	67.68910082117362	('DOCK1', 'C7')	3.2216155375246676e-06	DOCK1	C7	6.4
130	5	8	3	3	Cooccurring	272.6666666666667	0.3	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	23.844211231666993	0.0	False	0.3	[8, 5]	2	79.48070410555664	('ADCY1', 'C2orf55')	8.9826381861761663e-06	ADCY1	C2orf55	6.0
129	6	5	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringCooccurringCooccurring'])	8	25.36963431023464	0.0	False	0.375	[5, 6]	2	67.65235816062571	('PCDHB3', 'PTPRS')	3.2216155375246676e-06	PCDHB3	PTPRS	6.4
126	8	6	6	2	Cooccurring	165.83333333333334	0.25	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	20.66550070231323	0.0	False	0.75	[6, 8]	2	27.55400093641764	('C12orf35', 'ADCY1')	1.4900497247921822e-13	C12orf35	ADCY1	13.7
126	5	11	3	6	Cooccurring	272.6666666666667	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	25.18095416277941	0.02	False	0.23076923076923078	[11, 5]	2	109.11746803871077	('SLIT3', 'C7')	2.629973242343817e-05	SLIT3	C7	5.7
125	6	10	3	4	Cooccurring	272.6666666666667	0.3076923076923077	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	26.770439643809993	0.02	False	0.23076923076923078	[10, 6]	2	116.00523845650997	('EP400', 'CROCC')	3.8053581776371059e-05	EP400	CROCC	5.5
123	5	9	3	4	Cooccurring	254.0	0.36363636363636365	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	26.998488952560173	0.01	False	0.2727272727272727	[9, 5]	2	98.99445949272064	('AHNAK', 'CASZ1')	1.3445591165402459e-05	AHNAK	CASZ1	5.9
122	6	8	3	2	Cooccurring	272.6666666666667	0.18181818181818182	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	26.121054540893333	0.01	False	0.2727272727272727	[8, 6]	2	95.77719998327557	('CELSR3', 'IGHMBP2')	1.7871040338087056e-05	CELSR3	IGHMBP2	5.8
121	5	6	3	1	Cooccurring	254.0	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	25.358492675281585	0.0	False	0.375	[6, 5]	2	67.62264713408423	('PCDHA8', 'KIF1B')	3.2216155375246676e-06	PCDHA8	KIF1B	6.4
121	127	176	97	49	Cooccurring	19.216494845360824	0.23786407766990292	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	206	15.768992400321913	0.0	False	0.470873786407767	[176, 127]	2	33.488787984188804	('CDKN2A(D)', 'EGFR(A)')	2.9310223136590365e-44	CDKN2A(D)	EGFR(A)	45.8
121	5	20	3	15	Cooccurring	272.6666666666667	0.6818181818181818	set(['CooccurringCooccurringCooccurring'])	22	25.908158459340058	0.04	False	0.13636363636363635	[20, 5]	2	189.99316203516042	('OBSCN', 'C2orf55')	0.00017826981292453492	OBSCN	C2orf55	5.1
121	5	7	3	2	Cooccurring	236.66666666666666	0.2222222222222222	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	24.777591345923216	0.0	False	0.3333333333333333	[7, 5]	2	74.33277403776965	('SPEN', 'ARHGEF19')	5.6259813791746611e-06	SPEN	ARHGEF19	6.2
121	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	24.296579218464615	0.02	False	0.375	[6, 5]	2	64.79087791590564	('DOCK1', 'C2orf55')	3.2216155375246676e-06	DOCK1	C2orf55	6.4
117	6	6	4	0	Cooccurring	230.5	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	23.906655493353664	0.0	False	0.5	[6, 6]	2	47.81331098670733	('C12orf35', 'DOCK8')	2.028436087836825e-08	C12orf35	DOCK8	8.6
116	6	6	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	25.713432313732195	0.0	False	0.3333333333333333	[6, 6]	2	77.1402969411966	('ATP2B3', 'DOCK1')	6.422946714174054e-06	ATP2B3	DOCK1	6.1
115	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringCooccurringCooccurring'])	7	25.907390089478454	0.0	False	0.42857142857142855	[5, 5]	2	60.45057687544973	('PCDHB3', 'PCNT')	1.6141960859580385e-06	PCDHB3	PCNT	6.6
114	5	11	3	6	Cooccurring	254.0	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	25.830072348982785	0.02	False	0.23076923076923078	[11, 5]	2	111.93031351225873	('SLIT3', 'KIF1B')	2.629973242343817e-05	SLIT3	KIF1B	5.7
114	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	24.920032426920862	0.0	False	0.375	[6, 5]	2	66.4534198051223	('ATP2B3', 'C7')	3.2216155375246676e-06	ATP2B3	C7	6.4
114	7	5	3	2	Cooccurring	272.6666666666667	0.2222222222222222	set(['CooccurringCooccurringCooccurring'])	9	23.78253297999858	0.01	False	0.3333333333333333	[5, 7]	2	71.34759893999575	('ZAN', 'SMARCA1')	5.6259813791746611e-06	ZAN	SMARCA1	6.2
113	8	6	3	2	Cooccurring	272.3333333333333	0.18181818181818182	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	25.308221257137912	0.0	False	0.2727272727272727	[6, 8]	2	92.79681127617235	('SKIV2L', 'ADCY1')	1.7871040338087056e-05	SKIV2L	ADCY1	5.8
112	8	6	4	2	Cooccurring	209.5	0.2	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	22.235028688524157	0.0	False	0.4	[6, 8]	2	55.58757172131039	('ATP2B3', 'ADCY1')	9.4236034272314146e-08	ATP2B3	ADCY1	8.0
112	8	6	3	2	Cooccurring	272.6666666666667	0.18181818181818182	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	25.26392027130213	0.0	False	0.2727272727272727	[6, 8]	2	92.63437432810781	('C12orf35', 'PLEC')	1.7871040338087056e-05	C12orf35	PLEC	5.8
111	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	7	23.503179331653282	0.0	False	0.42857142857142855	[5, 5]	2	54.84075177385766	('C7', 'C2orf55')	1.6141960859580385e-06	C7	C2orf55	6.6
109	5	11	3	6	Cooccurring	254.0	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	25.640309227018925	0.04	False	0.23076923076923078	[11, 5]	2	111.10800665041533	('SLIT3', 'CASZ1')	2.629973242343817e-05	SLIT3	CASZ1	5.7
108	5	5	3	0	Cooccurring	272.3333333333333	0.0	set(['CooccurringCooccurringCooccurring'])	7	25.52392776286057	0.0	False	0.42857142857142855	[5, 5]	2	59.55583144667467	('ULK2', 'SMARCA4')	1.6141960859580385e-06	ULK2	SMARCA4	6.6
107	6	11	4	5	Cooccurring	210.75	0.38461538461538464	set(['CooccurringCooccurringCooccurring'])	13	24.51413666228501	0.0	False	0.3076923076923077	[11, 6]	2	79.67094415242629	('HSPG2', 'CROCC')	4.4126384701754899e-07	HSPG2	CROCC	7.5
107	8	5	3	3	Cooccurring	272.6666666666667	0.3	set(['CooccurringCooccurringCooccurring'])	10	27.257829355213573	0.02	False	0.3	[5, 8]	2	90.85943118404525	('TRIO', 'CELSR3')	8.9826381861761663e-06	TRIO	CELSR3	6.0
107	6	5	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringCooccurringCooccurring'])	8	25.404424811640634	0.0	False	0.375	[5, 6]	2	67.74513283104169	('PCDHB3', 'CROCC')	3.2216155375246676e-06	PCDHB3	CROCC	6.4
106	8	5	3	3	Cooccurring	272.3333333333333	0.3	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	25.911656033406363	0.02	False	0.3	[5, 8]	2	86.37218677802122	('ZNF318', 'ADCY1')	8.9826381861761663e-06	ZNF318	ADCY1	6.0
106	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	8	26.128272617344813	0.0	False	0.375	[6, 5]	2	69.67539364625283	('IGHMBP2', 'PCNT')	3.2216155375246676e-06	IGHMBP2	PCNT	6.4
106	7	6	3	1	Cooccurring	272.6666666666667	0.1	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	26.530124912451008	0.03	False	0.3	[6, 7]	2	88.43374970817003	('CACNA1H', 'SCN5A')	1.1204738724164403e-05	CACNA1H	SCN5A	6.0
106	8	6	3	2	Cooccurring	272.6666666666667	0.18181818181818182	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	11	25.956763614366754	0.01	False	0.2727272727272727	[6, 8]	2	95.17479991934476	('CACNA1H', 'ADCY1')	1.7871040338087056e-05	CACNA1H	ADCY1	5.8
105	5	5	3	0	Cooccurring	272.6666666666667	0.0	set(['CooccurringCooccurringCooccurring'])	7	27.557810967748612	0.0	False	0.42857142857142855	[5, 5]	2	64.30155892474677	('TRIO', 'DNAH10')	1.6141960859580385e-06	TRIO	DNAH10	6.6
105	11	5	3	6	Cooccurring	272.6666666666667	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	25.12365634697367	0.01	False	0.23076923076923078	[5, 11]	2	108.86917750355256	('PCDHB3', 'SLIT3')	2.6299732423438237e-05	PCDHB3	SLIT3	5.7
103	5	6	3	1	Cooccurring	272.6666666666667	0.125	set(['CooccurringCooccurringCooccurring'])	8	24.434833275246618	0.01	False	0.375	[6, 5]	2	65.15955540065765	('DOCK8', 'C2orf55')	3.2216155375246676e-06	DOCK8	C2orf55	6.4
102	8	7	3	1	Cooccurring	272.6666666666667	0.08333333333333333	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	12	27.265147058875588	0.03	False	0.25	[7, 8]	2	109.06058823550235	('SCN5A', 'PLEC')	3.1110147049657721e-05	SCN5A	PLEC	5.6
101	5	11	3	6	Cooccurring	272.3333333333333	0.46153846153846156	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	13	25.90893429087763	0.03	False	0.23076923076923078	[11, 5]	2	112.27204859380306	('SLIT3', 'SMARCA4')	2.629973242343817e-05	SLIT3	SMARCA4	5.7
101	10	5	3	5	Cooccurring	272.6666666666667	0.4166666666666667	set(['CooccurringCooccurringCooccurring'])	12	27.566168457731376	0.01	False	0.25	[5, 10]	2	110.2646738309255	('DNAH10', 'EP400')	1.9167509954902627e-05	DNAH10	EP400	5.8
100	7	5	3	2	Cooccurring	272.6666666666667	0.2222222222222222	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	9	25.528607585534097	0.0	False	0.3333333333333333	[5, 7]	2	76.5858227566023	('FHOD3', 'MYT1')	5.6259813791746611e-06	FHOD3	MYT1	6.2
100	27	53	2	26	MutuallyExclusive		0.3333333333333333	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'MutuallyExclusiveMutuallyExclusiveMutuallyExclusive'])	78		0.01	False	0.02564102564102564	[53, 27]	2		('CDK4(A)', 'FAF1(D)')	0.68002975482882921	CDK4(A)	FAF1(D)	2.1
99	5	8	3	3	Cooccurring	237.0	0.3	set(['CooccurringMutuallyExclusiveMutuallyExclusive', 'CooccurringCooccurringCooccurring'])	10	24.875571572424427	0.01	False	0.3	[8, 5]	2	82.91857190808143	('ADCY1', 'ZNF292')	8.9826381861761663e-06	ADCY1	ZNF292	6.0
