MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet	PermutationProbability
0.7966101694915254	False	0.6305901243484795	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	C12orf35	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'C12orf35')	0.03
0.8275862068965517	False	0.68115181359238564	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	UGT2A1	0.0	5	53	[53, 5]	2	0	58	1.9	48	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'UGT2A1')	0.04
0.8805970149253731	False	0.79884829750575737	DNAH3	EGFR(A)	0.014925373134328358	127	9	[9, 127]	2	2	134	2.2	118	MutuallyExclusive	('DNAH3', 'EGFR(A)')	0.04
0.7083333333333334	False	0.66181067661773096	ODZ3	MDM4(A)	0.0	41	7	[7, 41]	2	0	48	1.9	34	MutuallyExclusive	('ODZ3', 'MDM4(A)')	0.04
0.7666666666666667	False	0.58371596363253875	CDK4(A)	SLC27A2	0.0	7	53	[53, 7]	2	0	60	2.0	46	MutuallyExclusive	('CDK4(A)', 'SLC27A2')	0.04
0.1891891891891892	False	0.62449459787596584	KRTAP5-5	HYDIN	0.0	22	15	[15, 22]	2	0	37	1.8	7	MutuallyExclusive	('KRTAP5-5', 'HYDIN')	0.03
0.6666666666666666	False	0.70410491642049355	RB1(D)	SLC27A2	0.0	7	35	[35, 7]	2	0	42	1.8	28	MutuallyExclusive	('RB1(D)', 'SLC27A2')	0.04
0.7966101694915254	False	0.63059012434847395	ECEL1	CDK4(A)	0.0	53	6	[6, 53]	2	0	59	2.0	47	MutuallyExclusive	('ECEL1', 'CDK4(A)')	0.02
0.7073170731707317	False	0.74045251535054946	DOCK1	RB1(D)	0.0	35	6	[6, 35]	2	0	41	1.7	29	MutuallyExclusive	('DOCK1', 'RB1(D)')	0.04
0.9022556390977443	False	0.6416595252728714	ASPM	EGFR(A)	0.007518796992481203	127	7	[7, 127]	2	1	133	2.3	120	MutuallyExclusive	('ASPM', 'EGFR(A)')	0.01
0.8177083333333334	False	0.2769844197740714	CDKN2A(D)	RB1	0.015625	19	176	[176, 19]	2	3	192	2.8	157	MutuallyExclusive	('CDKN2A(D)', 'RB1')	0.0
0.803921568627451	False	0.71782110570967139	SP1	PDGFRA(A)	0.0	46	5	[5, 46]	2	0	51	1.9	41	MutuallyExclusive	('SP1', 'PDGFRA(A)')	0.03
0.6825396825396826	False	0.46266889743588796	SYNE2	CDK4(A)	0.0	53	10	[10, 53]	2	0	63	2.1	43	MutuallyExclusive	('SYNE2', 'CDK4(A)')	0.0
0.7966101694915254	False	0.63059012434847395	TPTE2	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	0.0	53	6	[6, 53]	2	0	59	2.0	47	MutuallyExclusive	('TPTE2', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)')	0.04
0.8536585365853658	False	0.51028849310603552	PTEN	SIPA1L2	0.0	6	76	[76, 6]	2	0	82	2.2	70	MutuallyExclusive	('PTEN', 'SIPA1L2')	0.0
0.7666666666666667	False	0.58371596363245581	BIRC6	CDK4(A)	0.0	53	7	[7, 53]	2	0	60	2.0	46	MutuallyExclusive	('BIRC6', 'CDK4(A)')	0.03
0.95	False	0.64384448813714468	CDKN2A(D)	ANGPT4	0.005555555555555556	5	176	[176, 5]	2	1	180	2.4	171	MutuallyExclusive	('CDKN2A(D)', 'ANGPT4')	0.03
0.8536585365853658	False	0.51028849310603552	PTEN	GRHL3	0.0	6	76	[76, 6]	2	0	82	2.2	70	MutuallyExclusive	('PTEN', 'GRHL3')	0.03
0.7446808510638298	False	0.70218900658985584	PTEN(D)	CREBBP	0.0	6	41	[41, 6]	2	0	47	1.8	35	MutuallyExclusive	('PTEN(D)', 'CREBBP')	0.04
0.7966101694915254	False	0.63059012434847395	SBF1	CDK4(A)	0.0	53	6	[6, 53]	2	0	59	2.0	47	MutuallyExclusive	('SBF1', 'CDK4(A)')	0.03
0.9444444444444444	False	0.83957164671358098	CDKN2A(D)	NFKBIL2	0.011111111111111112	6	176	[176, 6]	2	2	180	2.3	170	MutuallyExclusive	('CDKN2A(D)', 'NFKBIL2')	0.02
0.7073170731707317	False	0.74045251535054946	UGT3A2	RB1(D)	0.0	35	6	[6, 35]	2	0	41	1.7	29	MutuallyExclusive	('UGT3A2', 'RB1(D)')	0.04
0.7666666666666667	False	0.58371596363253875	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	XDH	0.0	7	53	[53, 7]	2	0	60	2.0	46	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'XDH')	0.03
0.7358490566037735	False	0.62824751332014939	PDGFRA(A)	KIF2B	0.0	7	46	[46, 7]	2	0	53	1.9	39	MutuallyExclusive	('PDGFRA(A)', 'KIF2B')	0.04
0.7446808510638298	False	0.70218900658992944	DLG5	MDM4(A)	0.0	41	6	[6, 41]	2	0	47	1.8	35	MutuallyExclusive	('DLG5', 'MDM4(A)')	0.03
0.7966101694915254	False	0.6305901243484795	CDK4(A)	ADAMTS3	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('CDK4(A)', 'ADAMTS3')	0.03
0.9242424242424242	False	0.37727868154039457	SP1	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	2.5	122	MutuallyExclusive	('SP1', 'EGFR(A)')	0.01
0.8275862068965517	False	0.6811518135923802	GUCY1A3	CDK4(A)	0.0	53	5	[5, 53]	2	0	58	1.9	48	MutuallyExclusive	('GUCY1A3', 'CDK4(A)')	0.02
0.9022556390977443	False	0.64165952527292602	EGFR(A)	MYT1	0.007518796992481203	7	127	[127, 7]	2	1	133	2.3	120	MutuallyExclusive	('EGFR(A)', 'MYT1')	0.01
0.5882352941176471	False	0.76408636431727039	WBSCR17	FAF1(D)	0.0	27	7	[7, 27]	2	0	34	1.6	20	MutuallyExclusive	('WBSCR17', 'FAF1(D)')	0.03
0.8765432098765432	False	0.57107521015319307	SARDH	TP53	0.0	76	5	[5, 76]	2	0	81	2.2	71	MutuallyExclusive	('SARDH', 'TP53')	0.02
0.6825396825396826	False	0.46266889743593154	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CACNA1S	0.0	10	53	[53, 10]	2	0	63	2.1	43	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'CACNA1S')	0.0
0.9242424242424242	False	0.37727868154039457	ITGAD	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	2.5	122	MutuallyExclusive	('ITGAD', 'EGFR(A)')	0.0
0.6666666666666666	False	0.70410491642049355	RB1(D)	MLL4	0.0	7	35	[35, 7]	2	0	42	1.8	28	MutuallyExclusive	('RB1(D)', 'MLL4')	0.01
0.8765432098765432	False	0.57107521015310025	PTEN	PTPRD	0.0	5	76	[76, 5]	2	0	81	2.2	71	MutuallyExclusive	('PTEN', 'PTPRD')	0.04
0.8765432098765432	False	0.57107521015310025	PTEN	COL6A6	0.0	5	76	[76, 5]	2	0	81	2.2	71	MutuallyExclusive	('PTEN', 'COL6A6')	0.02
0.9444444444444444	False	0.83957164671358098	CDKN2A(D)	PTPRS	0.011111111111111112	6	176	[176, 6]	2	2	180	2.3	170	MutuallyExclusive	('CDKN2A(D)', 'PTPRS')	0.01
0.6825396825396826	False	0.46266889743593154	CDK4(A)	DOCK5	0.0	10	53	[53, 10]	2	0	63	2.1	43	MutuallyExclusive	('CDK4(A)', 'DOCK5')	0.01
0.9242424242424242	False	0.37727868154037614	EGFR(A)	PCDH17	0.0	5	127	[127, 5]	2	0	132	2.5	122	MutuallyExclusive	('EGFR(A)', 'PCDH17')	0.01
0.7073170731707317	False	0.74045251535054946	CARD11	RB1(D)	0.0	35	6	[6, 35]	2	0	41	1.7	29	MutuallyExclusive	('CARD11', 'RB1(D)')	0.04
0.6727272727272727	False	0.54963838946148424	MYH2	PDGFRA(A)	0.0	46	9	[9, 46]	2	0	55	2.0	37	MutuallyExclusive	('MYH2', 'PDGFRA(A)')	0.01
0.8765432098765432	False	0.57107521015310025	PTEN	PITPNM1	0.0	5	76	[76, 5]	2	0	81	2.2	71	MutuallyExclusive	('PTEN', 'PITPNM1')	0.03
0.7083333333333334	False	0.66181067661773096	SETD2	MDM4(A)	0.0	41	7	[7, 41]	2	0	48	1.9	34	MutuallyExclusive	('SETD2', 'MDM4(A)')	0.04
0.803921568627451	False	0.71782110570967139	KCNN2	PDGFRA(A)	0.0	46	5	[5, 46]	2	0	51	1.9	41	MutuallyExclusive	('KCNN2', 'PDGFRA(A)')	0.04
0.64	False	0.58773492368501834	ZMYM3	PTEN(D)	0.0	41	9	[9, 41]	2	0	50	1.9	32	MutuallyExclusive	('ZMYM3', 'PTEN(D)')	0.02
0.7966101694915254	False	0.6305901243484795	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	PTPRS	0.0	6	53	[53, 6]	2	0	59	2.0	47	MutuallyExclusive	('QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTPRS')	0.01
0.6666666666666666	False	0.70410491642034356	COL22A1	RB1(D)	0.0	35	7	[7, 35]	2	0	42	1.8	28	MutuallyExclusive	('COL22A1', 'RB1(D)')	0.03
0.42105263157894735	False	0.65439507585756995	FAF1(D)	SCN9A	0.0	11	27	[27, 11]	2	0	38	1.8	16	MutuallyExclusive	('FAF1(D)', 'SCN9A')	0.04
0.42105263157894735	False	0.65439507585772805	FLG2	FAF1(D)	0.0	27	11	[11, 27]	2	0	38	1.8	16	MutuallyExclusive	('FLG2', 'FAF1(D)')	0.03
0.6078431372549019	False	0.55379530133167321	ANK1	MDM4(A)	0.0	41	10	[10, 41]	2	0	51	2.0	31	MutuallyExclusive	('ANK1', 'MDM4(A)')	0.03
0.07317073170731707	False	0.54986458009651618	LRP1B(D)	MIR3201(D),FAM19A5(D),LOC339685(D)	0.0	22	19	[19, 22]	2	0	41	1.9	3	MutuallyExclusive	('LRP1B(D)', 'MIR3201(D),FAM19A5(D),LOC339685(D)')	0.01
0.8805970149253731	False	0.79884829750575737	MICALCL	EGFR(A)	0.014925373134328358	127	9	[9, 127]	2	2	134	2.2	118	MutuallyExclusive	('MICALCL', 'EGFR(A)')	0.04
0.6666666666666666	False	0.70410491642034356	RFX6	RB1(D)	0.0	35	7	[7, 35]	2	0	42	1.8	28	MutuallyExclusive	('RFX6', 'RB1(D)')	0.04
0.8275862068965517	False	0.6811518135923802	BRPF3	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	0.0	53	5	[5, 53]	2	0	58	1.9	48	MutuallyExclusive	('BRPF3', 'QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)')	0.04
0.8805970149253731	False	0.79884829750568787	EGFR(A)	PKD1L2	0.014925373134328358	9	127	[127, 9]	2	2	134	2.2	118	MutuallyExclusive	('EGFR(A)', 'PKD1L2')	0.0
0.673469387755102	False	0.62370079214886454	ENPEP	PTEN(D)	0.0	41	8	[8, 41]	2	0	49	1.9	33	MutuallyExclusive	('ENPEP', 'PTEN(D)')	0.04
0.5882352941176471	False	0.76408636431718358	FAF1(D)	MLL4	0.0	7	27	[27, 7]	2	0	34	1.6	20	MutuallyExclusive	('FAF1(D)', 'MLL4')	0.02
0.8765432098765432	False	0.57107521015310025	PTEN	PTCHD2	0.0	5	76	[76, 5]	2	0	81	2.2	71	MutuallyExclusive	('PTEN', 'PTCHD2')	0.03
0.8731343283582089	False	0.91801800226951191	CC2D1A	EGFR(A)	0.022388059701492536	127	10	[10, 127]	2	3	134	2.2	117	MutuallyExclusive	('CC2D1A', 'EGFR(A)')	0.04
0.7692307692307693	False	0.67157492803157992	SPAM1	PDGFRA(A)	0.0	46	6	[6, 46]	2	0	52	1.9	40	MutuallyExclusive	('SPAM1', 'PDGFRA(A)')	0.04
