MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	SetScore	Overlap	Coverage	RoundedLogPCov	CombinedScore	AverageOverlapPMN	MutationFrequencyDifference	Type	GeneSet	PermutationProbability
0.24137931	FALSE	1.07E-09	"NF1,RAB11FIP4(D)"	NF1	0.275862069	22	15	"[15, 22]"	2	19.62555302	8	29	10.4	71.14262971	24.125	7	Cooccurring	"('NF1,RAB11FIP4(D)', 'NF1')"	0
0.363636364	FALSE	1.32E-09	RB1(D)	RB1	0.227272727	19	35	"[35, 19]"	2	18.38831413	10	44	10.5	80.90858216	23.1	16	Cooccurring	"('RB1(D)', 'RB1')"	0
0.083333333	FALSE	4.41E-09	EVPL	ADCY1	0.416666667	8	9	"[9, 8]"	2	22.64421658	5	12	9.4	54.34611979	167	1	Cooccurring	"('EVPL', 'ADCY1')"	0
0.307692308	FALSE	6.06E-09	FAT2	COL14A1	0.384615385	7	11	"[11, 7]"	2	23.0250242	5	13	9.3	59.86506293	142	4	Cooccurring	"('FAT2', 'COL14A1')"	0
0.142857143	FALSE	6.78E-09	FHOD3	IGHMBP2	0.571428571	6	5	"[5, 6]"	2	24.09790602	4	7	9	42.17133553	217.75	1	Cooccurring	"('FHOD3', 'IGHMBP2')"	0
0.142857143	FALSE	6.78E-09	SHROOM2	SPTBN4	0.571428571	5	6	"[6, 5]"	2	24.65232015	4	7	9	43.14156026	214.5	1	Cooccurring	"('SHROOM2', 'SPTBN4')"	0
0.142857143	FALSE	6.78E-09	C12orf35	FHOD3	0.571428571	5	6	"[6, 5]"	2	22.84748772	4	7	9	39.9831035	217.75	1	Cooccurring	"('C12orf35', 'FHOD3')"	0
0.142857143	FALSE	6.78E-09	SBF1	PCDHB3	0.571428571	5	6	"[6, 5]"	2	21.11160448	4	7	9	36.94530783	186	1	Cooccurring	"('SBF1', 'PCDHB3')"	0
0.867924528	FALSE	8.05E-09	NELL2(A)	CDK4(A)	0.132075472	53	7	"[7, 53]"	2	16.89395628	7	53	9.8	127.9113832	17.14285714	46	Cooccurring	"('NELL2(A)', 'CDK4(A)')"	0
0.357142857	FALSE	1.04E-08	MYO15A	SCN5A	0.357142857	7	12	"[12, 7]"	2	23.20722321	5	14	9.1	64.98022498	150.6	5	Cooccurring	"('MYO15A', 'SCN5A')"	0
0.25	FALSE	1.58E-08	TRIO	MYT1	0.5	7	5	"[5, 7]"	2	23.91670341	4	8	8.7	47.83340683	212	2	Cooccurring	"('TRIO', 'MYT1')"	0
0.25	FALSE	1.58E-08	NIPBL	MYH9	0.5	7	5	"[5, 7]"	2	24.35538653	4	8	8.7	48.71077307	185.25	2	Cooccurring	"('NIPBL', 'MYH9')"	0
0.146341463	FALSE	1.86E-08	FLG	HYDIN	0.219512195	22	28	"[28, 22]"	2	23.60014916	9	41	9.3	107.5117906	93	6	Cooccurring	"('FLG', 'HYDIN')"	0.01
0	FALSE	2.03E-08	PCDHA2	DOCK8	0.5	6	6	"[6, 6]"	2	22.60714073	4	8	8.6	45.21428147	195.5	0	Cooccurring	"('PCDHA2', 'DOCK8')"	0
0	FALSE	2.03E-08	C12orf35	DOCK8	0.5	6	6	"[6, 6]"	2	23.90665549	4	8	8.6	47.81331099	230.5	0	Cooccurring	"('C12orf35', 'DOCK8')"	0
0	FALSE	2.03E-08	C12orf35	IGHMBP2	0.5	6	6	"[6, 6]"	2	22.35719336	4	8	8.6	44.71438671	217.75	0	Cooccurring	"('C12orf35', 'IGHMBP2')"	0
0.4375	FALSE	2.61E-08	CNTNAP2	DCC	0.3125	7	14	"[14, 7]"	2	21.04145986	5	16	8.8	67.33267156	152.4	7	Cooccurring	"('CNTNAP2', 'DCC')"	0
0.333333333	FALSE	3.16E-08	FHOD3	ADCY1	0.444444444	8	5	"[5, 8]"	2	24.27535321	4	9	8.5	54.61954471	217.75	3	Cooccurring	"('FHOD3', 'ADCY1')"	0
0.333333333	FALSE	3.16E-08	TRIO	PLEC	0.444444444	8	5	"[5, 8]"	2	24.62507775	4	9	8.5	55.40642493	209.5	3	Cooccurring	"('TRIO', 'PLEC')"	0
0.333333333	FALSE	3.16E-08	C7	CELSR3	0.444444444	8	5	"[5, 8]"	2	24.07101114	4	9	8.5	54.15977505	213.75	3	Cooccurring	"('C7', 'CELSR3')"	0
0.333333333	FALSE	3.16E-08	CHD5	WHSC1L1	0.444444444	5	8	"[8, 5]"	2	23.56468206	4	9	8.5	53.02053463	197	3	Cooccurring	"('CHD5', 'WHSC1L1')"	0
0.61627907	FALSE	3.71E-08	"SOX2-OT(A),PIK3CA(A)"	TP53	0.151162791	76	23	"[23, 76]"	2	17.55356605	13	86	9.4	116.1235908	21.23076923	53	Cooccurring	"('SOX2-OT(A),PIK3CA(A)', 'TP53')"	0.02
0.111111111	FALSE	4.72E-08	CACNA1D	FLT3	0.444444444	6	7	"[7, 6]"	2	21.9884473	4	9	8.3	49.47400643	156.75	1	Cooccurring	"('CACNA1D', 'FLT3')"	0
0.111111111	FALSE	4.72E-08	ASPM	SPHKAP	0.444444444	6	7	"[7, 6]"	2	23.17180586	4	9	8.3	52.13656319	159.5	1	Cooccurring	"('ASPM', 'SPHKAP')"	0
0.111111111	FALSE	4.72E-08	NELL2(A)	ANO6(A)	0.444444444	6	7	"[7, 6]"	2	17.60947715	4	9	8.3	39.62132358	18.75	1	Cooccurring	"('NELL2(A)', 'ANO6(A)')"	0
0.775	FALSE	7.02E-08	IDH1	TP53	0.125	76	14	"[14, 76]"	2	17.34947496	10	80	9.1	138.7957997	14.7	62	Cooccurring	"('IDH1', 'TP53')"	0
0.571428571	FALSE	7.39E-08	SPTA1	VWF	0.214285714	9	25	"[25, 9]"	2	22.15756825	6	28	8.6	103.4019852	130.8333333	16	Cooccurring	"('SPTA1', 'VWF')"	0
0.2	FALSE	9.42E-08	IGHMBP2	ADCY1	0.4	8	6	"[6, 8]"	2	23.78505885	4	10	8	59.46264711	217.75	2	Cooccurring	"('IGHMBP2', 'ADCY1')"	0
0.2	FALSE	9.42E-08	DOCK8	ODZ1	0.4	8	6	"[6, 8]"	2	22.59195329	4	10	8	56.47988323	213.75	2	Cooccurring	"('DOCK8', 'ODZ1')"	0.01
0.2	FALSE	9.42E-08	DOCK1	PLEC	0.4	8	6	"[6, 8]"	2	23.54699406	4	10	8	58.86748515	208.25	2	Cooccurring	"('DOCK1', 'PLEC')"	0
0.2	FALSE	9.42E-08	DOCK1	CELSR3	0.4	8	6	"[6, 8]"	2	23.28333457	4	10	8	58.20833643	208.5	2	Cooccurring	"('DOCK1', 'CELSR3')"	0
0.2	FALSE	9.42E-08	F8	BBS1	0.4	8	6	"[6, 8]"	2	20.89684173	4	10	8	52.24210432	151.75	2	Cooccurring	"('F8', 'BBS1')"	0
0.2	FALSE	9.42E-08	DOCK8	ADCY1	0.4	8	6	"[6, 8]"	2	25.33452098	4	10	8	63.33630246	230.5	2	Cooccurring	"('DOCK8', 'ADCY1')"	0
0.2	FALSE	9.42E-08	ATP2B3	ADCY1	0.4	8	6	"[6, 8]"	2	22.23502869	4	10	8	55.58757172	209.5	2	Cooccurring	"('ATP2B3', 'ADCY1')"	0
0.454545455	FALSE	9.44E-08	SYNE2	SPTBN4	0.363636364	5	10	"[10, 5]"	2	26.12930392	4	11	8.1	71.85558578	214.5	5	Cooccurring	"('SYNE2', 'SPTBN4')"	0
0.454545455	FALSE	9.44E-08	CIITA	LAMA1	0.363636364	10	5	"[5, 10]"	2	22.02181602	4	11	8.1	60.55999407	172.25	5	Cooccurring	"('CIITA', 'LAMA1')"	0
0.454545455	FALSE	9.44E-08	ULK2	SLCO6A1	0.363636364	10	5	"[5, 10]"	2	20.96309708	4	11	8.1	57.64851697	188.5	5	Cooccurring	"('ULK2', 'SLCO6A1')"	0
0	FALSE	1.10E-07	KIAA1409	MYLK	0.4	7	7	"[7, 7]"	2	22.24849732	4	10	8	55.6212433	188	0	Cooccurring	"('KIAA1409', 'MYLK')"	0
0.5	FALSE	1.48E-07	HSPG2	WHSC1L1	0.333333333	5	11	"[11, 5]"	2	23.29411977	4	12	7.9	69.8823593	192	6	Cooccurring	"('HSPG2', 'WHSC1L1')"	0
0.5	FALSE	1.48E-07	FAT2	EPHA8	0.333333333	5	11	"[11, 5]"	2	22.35562658	4	12	7.9	67.06687973	156.25	6	Cooccurring	"('FAT2', 'EPHA8')"	0
0.5	FALSE	1.48E-07	FAT2	NIPBL	0.333333333	5	11	"[11, 5]"	2	23.91270628	4	12	7.9	71.73811884	177.75	6	Cooccurring	"('FAT2', 'NIPBL')"	0
0.5	FALSE	1.48E-07	PLCB3	CABIN1	0.333333333	11	5	"[5, 11]"	2	22.72043276	4	12	7.9	68.16129827	194.75	6	Cooccurring	"('PLCB3', 'CABIN1')"	0
0.5	FALSE	1.48E-07	ENPP2	CABIN1	0.333333333	11	5	"[5, 11]"	2	21.82069455	4	12	7.9	65.46208364	155.5	6	Cooccurring	"('ENPP2', 'CABIN1')"	0
0.272727273	FALSE	1.69E-07	C12orf35	AHNAK	0.363636364	9	6	"[6, 9]"	2	22.40691221	4	11	7.8	61.61900858	195.5	3	Cooccurring	"('C12orf35', 'AHNAK')"	0
0.272727273	FALSE	1.69E-07	SSPO	NOTCH2	0.363636364	6	9	"[9, 6]"	2	20.06100942	4	11	7.8	55.16777591	174.75	3	Cooccurring	"('SSPO', 'NOTCH2')"	0
0.272727273	FALSE	1.69E-07	EVPL	ATP2B3	0.363636364	6	9	"[9, 6]"	2	22.34049469	4	11	7.8	61.43636039	176	3	Cooccurring	"('EVPL', 'ATP2B3')"	0
0.272727273	FALSE	1.69E-07	EVPL	PCDHA8	0.363636364	6	9	"[9, 6]"	2	21.3524875	4	11	7.8	58.71934061	193.25	3	Cooccurring	"('EVPL', 'PCDHA8')"	0
0.272727273	FALSE	1.69E-07	PLEKHG4B	COL11A1	0.363636364	6	9	"[9, 6]"	2	21.84195955	4	11	7.8	60.06538877	154.75	3	Cooccurring	"('PLEKHG4B', 'COL11A1')"	0
0.272727273	FALSE	1.69E-07	C12orf35	EVPL	0.363636364	9	6	"[6, 9]"	2	22.96998992	4	11	7.8	63.16747227	203.75	3	Cooccurring	"('C12orf35', 'EVPL')"	0
0.090909091	FALSE	2.19E-07	ITPR3	CHD5	0.363636364	8	7	"[7, 8]"	2	22.50456391	4	11	7.7	61.88755076	187	1	Cooccurring	"('ITPR3', 'CHD5')"	0
0.090909091	FALSE	2.19E-07	PLCG2	NLRP7	0.363636364	8	7	"[7, 8]"	2	21.7273051	4	11	7.7	59.75008903	159	1	Cooccurring	"('PLCG2', 'NLRP7')"	0
0.090909091	FALSE	2.19E-07	WBSCR17	COL11A2	0.363636364	8	7	"[7, 8]"	2	22.54766626	4	11	7.7	62.0060822	198	1	Cooccurring	"('WBSCR17', 'COL11A2')"	0
0.090909091	FALSE	2.19E-07	COL4A2	ODZ1	0.363636364	8	7	"[7, 8]"	2	21.37275191	4	11	7.7	58.77506774	194.25	1	Cooccurring	"('COL4A2', 'ODZ1')"	0
0.538461538	FALSE	2.22E-07	MYO15A	PPEF2	0.307692308	5	12	"[12, 5]"	2	22.68692726	4	13	7.8	73.73251359	173.5	7	Cooccurring	"('MYO15A', 'PPEF2')"	0
0.538461538	FALSE	2.22E-07	DNAH11	C2orf55	0.307692308	5	12	"[12, 5]"	2	21.94749949	4	13	7.8	71.32937335	209	7	Cooccurring	"('DNAH11', 'C2orf55')"	0
0.627906977	FALSE	2.30E-07	TP53(D)	TP53	0.139534884	76	22	"[22, 76]"	2	17.83351063	12	86	8.6	127.8068262	32.25	54	Cooccurring	"('TP53(D)', 'TP53')"	0.02
0.417910448	FALSE	2.51E-07	SPTA1	CDK4(A)	0.164179104	53	25	"[25, 53]"	2	18.94914709	11	67	8.4	115.4175323	22.90909091	28	Cooccurring	"('SPTA1', 'CDK4(A)')"	0.04
0.333333333	FALSE	2.81E-07	CDH18	SCN10A	0.333333333	6	10	"[10, 6]"	2	21.48406274	4	12	7.6	64.45218823	155.5	4	Cooccurring	"('CDH18', 'SCN10A')"	0
0.333333333	FALSE	2.81E-07	SHROOM2	SYNE2	0.333333333	10	6	"[6, 10]"	2	25.65206002	4	12	7.6	76.95618006	214.5	4	Cooccurring	"('SHROOM2', 'SYNE2')"	0
0.210526316	FALSE	3.03E-07	SYNE2	CNTNAP2	0.263157895	14	10	"[10, 14]"	2	22.43033335	5	19	7.8	85.23526674	154	4	Cooccurring	"('SYNE2', 'CNTNAP2')"	0
0.625	FALSE	3.36E-07	NF1	L1CAM	0.208333333	7	22	"[22, 7]"	2	22.01670474	5	24	7.9	105.6801827	130.8	15	Cooccurring	"('NF1', 'L1CAM')"	0
0.678571429	FALSE	3.47E-07	TP53	RB1	0.130952381	19	76	"[76, 19]"	2	17.84893997	11	84	8.4	136.3009961	86.63636364	57	Cooccurring	"('TP53', 'RB1')"	0.01
0.166666667	FALSE	3.93E-07	ZMYM3	AKAP13	0.333333333	7	9	"[9, 7]"	2	22.96042301	4	12	7.5	68.88126904	178.25	2	Cooccurring	"('ZMYM3', 'AKAP13')"	0
0.166666667	FALSE	3.93E-07	KIAA1409	EVPL	0.333333333	9	7	"[7, 9]"	2	21.68283437	4	12	7.5	65.04850311	184.25	2	Cooccurring	"('KIAA1409', 'EVPL')"	0
0	FALSE	4.36E-07	ZNF208	COL11A2	0.333333333	8	8	"[8, 8]"	2	22.21825166	4	12	7.4	66.65475498	158.75	0	Cooccurring	"('ZNF208', 'COL11A2')"	0.02
0.384615385	FALSE	4.41E-07	HSPG2	PTPRS	0.307692308	6	11	"[11, 6]"	2	24.05028398	4	13	7.5	78.16342292	209.5	5	Cooccurring	"('HSPG2', 'PTPRS')"	0
0.384615385	FALSE	4.41E-07	HSPG2	CROCC	0.307692308	6	11	"[11, 6]"	2	24.51413666	4	13	7.5	79.67094415	210.75	5	Cooccurring	"('HSPG2', 'CROCC')"	0
0.384615385	FALSE	4.41E-07	C12orf35	SLIT3	0.307692308	11	6	"[6, 11]"	2	23.56594279	4	13	7.5	76.58931407	230.5	5	Cooccurring	"('C12orf35', 'SLIT3')"	0
0.384615385	FALSE	4.41E-07	SKIV2L	SLIT3	0.307692308	11	6	"[6, 11]"	2	22.44418274	4	13	7.5	72.94359389	209	5	Cooccurring	"('SKIV2L', 'SLIT3')"	0
0.384615385	FALSE	4.41E-07	DOCK8	SLIT3	0.307692308	11	6	"[6, 11]"	2	25.58443032	4	13	7.5	83.14939855	230.5	5	Cooccurring	"('DOCK8', 'SLIT3')"	0
0.384615385	FALSE	4.41E-07	NFKBIL2	DNAH5	0.307692308	11	6	"[6, 11]"	2	21.13047671	4	13	7.5	68.6740493	186.5	5	Cooccurring	"('NFKBIL2', 'DNAH5')"	0.01
0.384615385	FALSE	4.41E-07	FLNC	SLIT3	0.307692308	11	6	"[6, 11]"	2	23.2262774	4	13	7.5	75.48540156	209	5	Cooccurring	"('FLNC', 'SLIT3')"	0.01
0.230769231	FALSE	6.52E-07	TMEM132D	TGM3	0.307692308	7	10	"[10, 7]"	2	21.0276853	4	13	7.3	68.33997723	158	3	Cooccurring	"('TMEM132D', 'TGM3')"	0
0.230769231	FALSE	6.52E-07	SYNE2	MYT1	0.307692308	7	10	"[10, 7]"	2	23.20911073	4	13	7.3	75.42960987	189.5	3	Cooccurring	"('SYNE2', 'MYT1')"	0.01
0.230769231	FALSE	6.52E-07	SYNE2	GPR133	0.307692308	7	10	"[10, 7]"	2	23.53248965	4	13	7.3	76.48059136	162.25	3	Cooccurring	"('SYNE2', 'GPR133')"	0
0.285714286	FALSE	6.53E-07	COL6A3	DSP	0.238095238	10	16	"[16, 10]"	2	22.89282739	5	21	7.5	96.14987505	130.4	6	Cooccurring	"('COL6A3', 'DSP')"	0
0.666666667	FALSE	6.74E-07	SPEN	SPTA1	0.185185185	25	7	"[7, 25]"	2	23.20312317	5	27	7.6	125.2968651	135.6	18	Cooccurring	"('SPEN', 'SPTA1')"	0
0.076923077	FALSE	7.81E-07	AHNAK	ADCY1	0.307692308	8	9	"[9, 8]"	2	23.8347777	4	13	7.2	77.46302753	195.5	1	Cooccurring	"('AHNAK', 'ADCY1')"	0
0.285714286	FALSE	1.02E-06	SLIT3	ODZ3	0.285714286	7	11	"[11, 7]"	2	20.12062872	4	14	7.1	70.42220051	187	4	Cooccurring	"('SLIT3', 'ODZ3')"	0
0.285714286	FALSE	1.02E-06	MUC5B	COL22A1	0.285714286	7	11	"[11, 7]"	2	23.88524952	4	14	7.1	83.59837331	176.75	4	Cooccurring	"('MUC5B', 'COL22A1')"	0
0.285714286	FALSE	1.02E-06	SCN5A	HSPG2	0.285714286	11	7	"[7, 11]"	2	25.31301476	4	14	7.1	88.59555164	214	4	Cooccurring	"('SCN5A', 'HSPG2')"	0.01
0.921052632	FALSE	1.16E-06	DLGAP2	TP53	0.078947368	76	6	"[6, 76]"	2	18.92791652	6	76	7.8	239.7536092	130.6666667	70	Cooccurring	"('DLGAP2', 'TP53')"	0
0.921052632	FALSE	1.16E-06	ATP2B3	TP53	0.078947368	76	6	"[6, 76]"	2	19.93353444	6	76	7.8	252.4914362	146.3333333	70	Cooccurring	"('ATP2B3', 'TP53')"	0
0.7	FALSE	1.24E-06	TGM2	FLG	0.166666667	28	7	"[7, 28]"	2	22.1815935	5	30	7.4	133.089561	147.6	21	Cooccurring	"('TGM2', 'FLG')"	0
0.791666667	FALSE	1.26E-06	PDGFRA	PDGFRA(A)	0.125	46	8	"[8, 46]"	2	18.88576585	6	48	7.6	151.0861268	17.83333333	38	Cooccurring	"('PDGFRA', 'PDGFRA(A)')"	0.01
0.142857143	FALSE	1.30E-06	EPPK1	MEGF8	0.285714286	10	8	"[8, 10]"	2	22.8261865	4	14	7	79.89165276	184.5	2	Cooccurring	"('EPPK1', 'MEGF8')"	0
0.142857143	FALSE	1.30E-06	SPEG	MEGF8	0.285714286	10	8	"[8, 10]"	2	23.15206416	4	14	7	81.03222454	187	2	Cooccurring	"('SPEG', 'MEGF8')"	0
0.142857143	FALSE	1.30E-06	PLEC	EP400	0.285714286	10	8	"[8, 10]"	2	25.1363511	4	14	7	87.97722884	211	2	Cooccurring	"('PLEC', 'EP400')"	0
0.5	FALSE	1.33E-06	SCAF1	USH2A	0.25	14	6	"[6, 14]"	2	23.84685851	4	16	7.1	95.38743403	179.75	8	Cooccurring	"('SCAF1', 'USH2A')"	0
0.333333333	FALSE	1.53E-06	KEL	LRFN5	0.266666667	7	12	"[12, 7]"	2	20.98980798	4	15	7	78.71177993	157.25	5	Cooccurring	"('KEL', 'LRFN5')"	0.01
0.333333333	FALSE	1.53E-06	DNAH9	KIF4B	0.266666667	7	12	"[12, 7]"	2	22.44286293	4	15	7	84.16073601	152.75	5	Cooccurring	"('DNAH9', 'KIF4B')"	0
0	FALSE	1.61E-06	PCDHA12	DOCK10	0.428571429	5	5	"[5, 5]"	2	22.56130291	3	7	6.6	52.64304012	208.6666667	0	Cooccurring	"('PCDHA12', 'DOCK10')"	0
0	FALSE	1.61E-06	CAND1	WHSC1L1	0.428571429	5	5	"[5, 5]"	2	23.12859187	3	7	6.6	53.96671435	209.3333333	0	Cooccurring	"('CAND1', 'WHSC1L1')"	0.02
0	FALSE	1.61E-06	PCNT	DNHD1	0.428571429	5	5	"[5, 5]"	2	25.69916048	3	7	6.6	59.96470779	230.6666667	0	Cooccurring	"('PCNT', 'DNHD1')"	0.01
0	FALSE	1.61E-06	TRIO	C7	0.428571429	5	5	"[5, 5]"	2	25.89037245	3	7	6.6	60.41086904	272.6666667	0	Cooccurring	"('TRIO', 'C7')"	0.01
0	FALSE	1.61E-06	ZAN	LZTR1	0.428571429	5	5	"[5, 5]"	2	20.29377367	3	7	6.6	47.35213857	243.6666667	0	Cooccurring	"('ZAN', 'LZTR1')"	0
0	FALSE	1.61E-06	FHOD3	ZNF292	0.428571429	5	5	"[5, 5]"	2	25.18841875	3	7	6.6	58.77297707	237	0	Cooccurring	"('FHOD3', 'ZNF292')"	0
0	FALSE	1.61E-06	PTPRD	DDX11	0.428571429	5	5	"[5, 5]"	2	22.08104481	3	7	6.6	51.52243788	224.3333333	0	Cooccurring	"('PTPRD', 'DDX11')"	0
0	FALSE	1.61E-06	C7	CASZ1	0.428571429	5	5	"[5, 5]"	2	22.37614762	3	7	6.6	52.21101111	226	0	Cooccurring	"('C7', 'CASZ1')"	0
0	FALSE	1.61E-06	ITGB2	KCNQ5	0.428571429	5	5	"[5, 5]"	2	20.57587579	3	7	6.6	48.01037685	198.3333333	0	Cooccurring	"('ITGB2', 'KCNQ5')"	0
0	FALSE	1.61E-06	PCDHB3	DNAH10	0.428571429	5	5	"[5, 5]"	2	26.20015363	3	7	6.6	61.13369179	272.6666667	0	Cooccurring	"('PCDHB3', 'DNAH10')"	0
0	FALSE	1.61E-06	HECW1	SLC22A2	0.428571429	5	5	"[5, 5]"	2	22.49647238	3	7	6.6	52.49176888	247	0	Cooccurring	"('HECW1', 'SLC22A2')"	0.01
0	FALSE	1.61E-06	PCNT	PCDH17	0.428571429	5	5	"[5, 5]"	2	24.53584769	3	7	6.6	57.25031127	232.3333333	0	Cooccurring	"('PCNT', 'PCDH17')"	0
0	FALSE	1.61E-06	FHOD3	C2orf55	0.428571429	5	5	"[5, 5]"	2	24.1570584	3	7	6.6	56.36646961	272.6666667	0	Cooccurring	"('FHOD3', 'C2orf55')"	0
0	FALSE	1.61E-06	TNS1	DEAF1	0.428571429	5	5	"[5, 5]"	2	22.48345895	3	7	6.6	52.46140421	228	0	Cooccurring	"('TNS1', 'DEAF1')"	0
0	FALSE	1.61E-06	PCNT	USP43	0.428571429	5	5	"[5, 5]"	2	24.31089613	3	7	6.6	56.7254243	249	0	Cooccurring	"('PCNT', 'USP43')"	0
0	FALSE	1.61E-06	ZNF318	SPTBN4	0.428571429	5	5	"[5, 5]"	2	26.6980434	3	7	6.6	62.29543459	272.3333333	0	Cooccurring	"('ZNF318', 'SPTBN4')"	0
0	FALSE	1.61E-06	EPHB2	SMARCA4	0.428571429	5	5	"[5, 5]"	2	23.25940617	3	7	6.6	54.27194774	247.3333333	0	Cooccurring	"('EPHB2', 'SMARCA4')"	0
0	FALSE	1.61E-06	COL6A1	MAP3K12	0.428571429	5	5	"[5, 5]"	2	22.34016855	3	7	6.6	52.12705994	246.3333333	0	Cooccurring	"('COL6A1', 'MAP3K12')"	0.01
0	FALSE	1.61E-06	PDE6B	KANK1	0.428571429	5	5	"[5, 5]"	2	24.21447509	3	7	6.6	56.50044187	253.3333333	0	Cooccurring	"('PDE6B', 'KANK1')"	0.01
0	FALSE	1.61E-06	ZNF318	RPGRIP1L	0.428571429	5	5	"[5, 5]"	2	23.91969458	3	7	6.6	55.8126207	229.6666667	0	Cooccurring	"('ZNF318', 'RPGRIP1L')"	0.02
0	FALSE	1.61E-06	PTCHD2	CASZ1	0.428571429	5	5	"[5, 5]"	2	25.55043046	3	7	6.6	59.61767108	254	0	Cooccurring	"('PTCHD2', 'CASZ1')"	0
0	FALSE	1.61E-06	NIPBL	MSH6	0.428571429	5	5	"[5, 5]"	2	24.8671851	3	7	6.6	58.0234319	231.3333333	0	Cooccurring	"('NIPBL', 'MSH6')"	0
0	FALSE	1.61E-06	MYH14	CAND1	0.428571429	5	5	"[5, 5]"	2	21.8706874	3	7	6.6	51.03160393	201	0	Cooccurring	"('MYH14', 'CAND1')"	0.01
0	FALSE	1.61E-06	CCDC45	KIAA1244	0.428571429	5	5	"[5, 5]"	2	20.73099204	3	7	6.6	48.37231477	242.3333333	0	Cooccurring	"('CCDC45', 'KIAA1244')"	0
0	FALSE	1.61E-06	CFTR	UBR4	0.428571429	5	5	"[5, 5]"	2	23.52150024	3	7	6.6	54.88350056	243	0	Cooccurring	"('CFTR', 'UBR4')"	0.01
