MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.4722222222222222	False	0.011231051672064098	CDK4(A)	RB1	0.0	19	53	[53, 19]	2	0	72	3.8	34	MutuallyExclusive	frozenset(['CDK4(A)', 'RB1'])
0.95	False	0.040072560708853421	MYH3	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['MYH3', 'CDKN2A(D)'])
0.9097744360902256	False	0.017323207792861842	C12orf35	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['C12orf35', 'EGFR(A)'])
0.3181818181818182	False	0.044253275813083158	TP53	MDM4(A)	0.06363636363636363	41	76	[76, 41]	2	7	110	3.4	35	MutuallyExclusive	frozenset(['TP53', 'MDM4(A)'])
0.9242424242424242	False	0.034377838720724786	ITGAD	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['ITGAD', 'EGFR(A)'])
0.9340659340659341	False	0.0010555012413558376	C12orf35	CDKN2A(D)	0.0	176	6	[6, 176]	2	0	182	5.2	170	MutuallyExclusive	frozenset(['C12orf35', 'CDKN2A(D)'])
0.788235294117647	False	0.042609709814107312	PTEN	ADAM29	0.0	9	76	[76, 9]	2	0	85	3.3	67	MutuallyExclusive	frozenset(['PTEN', 'ADAM29'])
0.7241379310344828	False	0.0022161630512797892	EGFR(A)	NF1	0.027586206896551724	22	127	[127, 22]	2	4	145	4.8	105	MutuallyExclusive	frozenset(['EGFR(A)', 'NF1'])
0.9242424242424242	False	0.034377838720724786	PPP1R9A	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['PPP1R9A', 'EGFR(A)'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	PCDH17	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'PCDH17'])
0.95	False	0.040072560708868915	CDKN2A(D)	ITIH5	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ITIH5'])
0.9340659340659341	False	0.0010555012413557868	CDKN2A(D)	CACNA1F	0.0	6	176	[176, 6]	2	0	182	5.2	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'CACNA1F'])
0.41379310344827586	False	0.049439396586746023	PTEN(D)	PIK3R1	0.0	17	41	[41, 17]	2	0	58	3.1	24	MutuallyExclusive	frozenset(['PTEN(D)', 'PIK3R1'])
0.95	False	0.040072560708853421	ST14	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['ST14', 'CDKN2A(D)'])
0.6703296703296703	False	0.0048174470469685834	TP53	RPL5,FAM69A,SNORA66(D)	0.0	15	76	[76, 15]	2	0	91	4.3	61	MutuallyExclusive	frozenset(['TP53', 'RPL5,FAM69A,SNORA66(D)'])
0.6413043478260869	False	0.019852485864544474	PIK3CA	PTEN	0.010869565217391304	76	17	[17, 76]	2	1	92	3.7	59	MutuallyExclusive	frozenset(['PIK3CA', 'PTEN'])
0.5588235294117647	False	0.029845043130924277	NF1,RAB11FIP4(D)	CDK4(A)	0.0	53	15	[15, 53]	2	0	68	3.4	38	MutuallyExclusive	frozenset(['NF1,RAB11FIP4(D)', 'CDK4(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	CASZ1	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'CASZ1'])
0.8740740740740741	False	0.021807667117802337	EGFR(A)	ZNF407(D)	0.007407407407407408	9	127	[127, 9]	2	1	135	3.8	118	MutuallyExclusive	frozenset(['EGFR(A)', 'ZNF407(D)'])
0.95	False	0.040072560708853421	SP1	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['SP1', 'CDKN2A(D)'])
0.8955223880597015	False	0.0086955709705355214	EGFR(A)	AKAP13	0.0	7	127	[127, 7]	2	0	134	4.2	120	MutuallyExclusive	frozenset(['EGFR(A)', 'AKAP13'])
0.9337016574585635	False	0.038892116328533829	CDKN2A(D)	BCOR	0.011049723756906077	7	176	[176, 7]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['CDKN2A(D)', 'BCOR'])
0.9242424242424242	False	0.034377838720724786	COL24A1	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['COL24A1', 'EGFR(A)'])
0.9175824175824175	False	0.035297775059189906	CDKN2A(D)	PKD1L2	0.016483516483516484	9	176	[176, 9]	2	3	182	3.7	167	MutuallyExclusive	frozenset(['CDKN2A(D)', 'PKD1L2'])
0.95	False	0.040072560708853421	ZAN	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['ZAN', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720724786	C7	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['C7', 'EGFR(A)'])
0.95	False	0.040072560708853421	ABCA4	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['ABCA4', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	DDX11	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'DDX11'])
0.9242424242424242	False	0.034377838720724786	SRCRB4D	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['SRCRB4D', 'EGFR(A)'])
0.9097744360902256	False	0.017323207792861842	KLHL34	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['KLHL34', 'EGFR(A)'])
0.95	False	0.040072560708853421	SRCRB4D	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['SRCRB4D', 'CDKN2A(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	ASTL	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ASTL'])
0.7305699481865285	False	0.026017203962207459	CDKN2A(D)	RB1(D)	0.09326424870466321	35	176	[176, 35]	2	18	193	3.9	141	MutuallyExclusive	frozenset(['CDKN2A(D)', 'RB1(D)'])
0.9337016574585635	False	0.038892116328531678	SIPA1L3	CDKN2A(D)	0.011049723756906077	176	7	[7, 176]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['SIPA1L3', 'CDKN2A(D)'])
0.9175824175824175	False	0.035297775059191551	MYCNOS,MYCN(A)	CDKN2A(D)	0.016483516483516484	176	9	[9, 176]	2	3	182	3.7	167	MutuallyExclusive	frozenset(['MYCNOS,MYCN(A)', 'CDKN2A(D)'])
0.6060606060606061	False	0.048326406609263309	DNAH2	CDK4(A)	0.0	53	13	[13, 53]	2	0	66	3.1	40	MutuallyExclusive	frozenset(['DNAH2', 'CDK4(A)'])
0.95	False	0.040072560708853421	AGAP3	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['AGAP3', 'CDKN2A(D)'])
0.9392265193370166	False	0.014988117627251066	CDKN2A(D)	DOCK1	0.0055248618784530384	6	176	[176, 6]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'DOCK1'])
0.9392265193370166	False	0.014988117627251066	CDKN2A(D)	SUPT6H	0.0055248618784530384	6	176	[176, 6]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['CDKN2A(D)', 'SUPT6H'])
0.5774647887323944	False	3.8915216589770766e-10	CDKN2A(D)	CDK4(A)	0.07511737089201878	53	176	[176, 53]	2	16	213	11.7	123	MutuallyExclusive	frozenset(['CDKN2A(D)', 'CDK4(A)'])
0.6593406593406593	False	0.027142201654872116	PTEN	HMCN1	0.01098901098901099	16	76	[76, 16]	2	1	91	3.5	60	MutuallyExclusive	frozenset(['PTEN', 'HMCN1'])
0.288135593220339	False	0.0020316062245423847	PTEN	EGFR(A)	0.14689265536723164	127	76	[76, 127]	2	26	177	4.9	51	MutuallyExclusive	frozenset(['PTEN', 'EGFR(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	LRRK2	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'LRRK2'])
0.5031055900621118	False	0.00055324274087297073	EGFR(A)	PDGFRA(A)	0.07453416149068323	46	127	[127, 46]	2	12	161	5.5	81	MutuallyExclusive	frozenset(['EGFR(A)', 'PDGFRA(A)'])
0.9392265193370166	False	0.014988117627251784	PCDHA8	CDKN2A(D)	0.0055248618784530384	176	6	[6, 176]	2	1	181	4.1	170	MutuallyExclusive	frozenset(['PCDHA8', 'CDKN2A(D)'])
0.8880597014925373	False	0.039130069367410834	PDGFRA	EGFR(A)	0.007462686567164179	127	8	[8, 127]	2	1	134	3.5	119	MutuallyExclusive	frozenset(['PDGFRA', 'EGFR(A)'])
0.8333333333333334	False	0.0034956597880616853	MYO15A	EGFR(A)	0.007246376811594203	127	12	[12, 127]	2	1	138	4.6	115	MutuallyExclusive	frozenset(['MYO15A', 'EGFR(A)'])
0.7659574468085106	False	0.035556521598426302	EGFR(A)	RB1	0.03546099290780142	19	127	[127, 19]	2	5	141	3.6	108	MutuallyExclusive	frozenset(['EGFR(A)', 'RB1'])
0.9447513812154696	False	0.003377603972339539	CDKN2A(D)	NOTCH3	0.0	5	176	[176, 5]	2	0	181	4.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'NOTCH3'])
0.9016393442622951	False	0.031054812456661956	MDN1	CDKN2A(D)	0.02185792349726776	176	11	[11, 176]	2	4	183	3.8	165	MutuallyExclusive	frozenset(['MDN1', 'CDKN2A(D)'])
0.8177083333333334	False	2.1771277889149657e-06	CDKN2A(D)	RB1	0.015625	19	176	[176, 19]	2	3	192	7.9	157	MutuallyExclusive	frozenset(['CDKN2A(D)', 'RB1'])
0.8071428571428572	False	0.00097943233665391712	IDH1	EGFR(A)	0.007142857142857143	127	14	[14, 127]	2	1	140	5.2	113	MutuallyExclusive	frozenset(['IDH1', 'EGFR(A)'])
0.9285714285714286	False	0.0054265181467359515	NELL2(A)	CDKN2A(D)	0.005494505494505495	176	7	[7, 176]	2	1	182	4.5	169	MutuallyExclusive	frozenset(['NELL2(A)', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	WHSC1L1	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'WHSC1L1'])
0.788235294117647	False	0.042609709814107312	PTEN	PKD1L1	0.0	9	76	[76, 9]	2	0	85	3.3	67	MutuallyExclusive	frozenset(['PTEN', 'PKD1L1'])
0.8756756756756757	False	0.012586919227809914	IDH1	CDKN2A(D)	0.02702702702702703	176	14	[14, 176]	2	5	185	4.2	162	MutuallyExclusive	frozenset(['IDH1', 'CDKN2A(D)'])
0.9097744360902256	False	0.017323207792861842	KDM2B	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['KDM2B', 'EGFR(A)'])
0.8880597014925373	False	0.039130069367410834	NLRP7	EGFR(A)	0.007462686567164179	127	8	[8, 127]	2	1	134	3.5	119	MutuallyExclusive	frozenset(['NLRP7', 'EGFR(A)'])
0.95	False	0.040072560708868915	CDKN2A(D)	ANGPT4	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'ANGPT4'])
0.95	False	0.040072560708853421	ARHGEF19	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['ARHGEF19', 'CDKN2A(D)'])
0.20930232558139536	False	0.012178512960468558	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	RB1(D)	0.023255813953488372	35	53	[53, 35]	2	2	86	3.8	18	MutuallyExclusive	frozenset(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'RB1(D)'])
0.95	False	0.040072560708868915	CDKN2A(D)	KIAA1210	0.005555555555555556	5	176	[176, 5]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['CDKN2A(D)', 'KIAA1210'])
0.9447513812154696	False	0.0033776039723389358	FHOD3	CDKN2A(D)	0.0	176	5	[5, 176]	2	0	181	4.7	171	MutuallyExclusive	frozenset(['FHOD3', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	CAND1	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'CAND1'])
0.9242424242424242	False	0.034377838720724786	FHOD3	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['FHOD3', 'EGFR(A)'])
0.8814814814814815	False	0.0043477854852676289	ADCY1	EGFR(A)	0.0	127	8	[8, 127]	2	0	135	4.5	119	MutuallyExclusive	frozenset(['ADCY1', 'EGFR(A)'])
0.788235294117647	False	0.042609709814107312	PTEN	KIF21B	0.0	9	76	[76, 9]	2	0	85	3.3	67	MutuallyExclusive	frozenset(['PTEN', 'KIF21B'])
0.95	False	0.040072560708853421	PDE6B	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['PDE6B', 'CDKN2A(D)'])
0.9337016574585635	False	0.038892116328531678	ATP13A2	CDKN2A(D)	0.011049723756906077	176	7	[7, 176]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['ATP13A2', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720724786	PCDHA13	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['PCDHA13', 'EGFR(A)'])
0.95	False	0.040072560708853421	SLITRK6	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['SLITRK6', 'CDKN2A(D)'])
0.95	False	0.040072560708853421	C8B	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['C8B', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720724786	SAMD9L	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['SAMD9L', 'EGFR(A)'])
0.95	False	0.040072560708853421	GABRG2	CDKN2A(D)	0.005555555555555556	176	5	[5, 176]	2	1	180	3.7	171	MutuallyExclusive	frozenset(['GABRG2', 'CDKN2A(D)'])
0.9337016574585635	False	0.038892116328531678	ASPM	CDKN2A(D)	0.011049723756906077	176	7	[7, 176]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['ASPM', 'CDKN2A(D)'])
0.9242424242424242	False	0.034377838720723107	EGFR(A)	CASZ1	0.0	5	127	[127, 5]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['EGFR(A)', 'CASZ1'])
0.9242424242424242	False	0.034377838720724786	PCNT	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['PCNT', 'EGFR(A)'])
0.9097744360902256	False	0.017323207792861842	BSN	EGFR(A)	0.0	127	6	[6, 127]	2	0	133	3.9	121	MutuallyExclusive	frozenset(['BSN', 'EGFR(A)'])
0.788235294117647	False	0.042609709814106174	DCHS1	PTEN	0.0	76	9	[9, 76]	2	0	85	3.3	67	MutuallyExclusive	frozenset(['DCHS1', 'PTEN'])
0.5588235294117647	False	0.029845043130923322	CDK4(A)	RPL5,FAM69A,SNORA66(D)	0.0	15	53	[53, 15]	2	0	68	3.4	38	MutuallyExclusive	frozenset(['CDK4(A)', 'RPL5,FAM69A,SNORA66(D)'])
0.7674418604651163	False	0.029759162409856252	PTEN	SYNE2	0.0	10	76	[76, 10]	2	0	86	3.5	66	MutuallyExclusive	frozenset(['PTEN', 'SYNE2'])
0.9337016574585635	False	0.038892116328533829	CDKN2A(D)	CELSR2	0.011049723756906077	7	176	[176, 7]	2	2	181	3.7	169	MutuallyExclusive	frozenset(['CDKN2A(D)', 'CELSR2'])
0.9242424242424242	False	0.034377838720724786	MYH8	EGFR(A)	0.0	127	5	[5, 127]	2	0	132	3.6	122	MutuallyExclusive	frozenset(['MYH8', 'EGFR(A)'])
