ID	Gene0	Gene1	Gene2	TripletType	AverageCoverage	AverageSetScore	AverageCooccurrenceRatio	AverageCombinedScore	AverageTotalEdgeBetweennessCentrality	AverageAverageNodeClosenessCentrality	AverageAverageNodeClusteringCoefficient	AverageRoundedLogPCov	TripletScore	01Type	02Type	12Type	01Concordance	02Concordance	12Concordance	Somatic	Probability	Overlap	Coverage	CooccurrenceRatio
32	PTPRD	SLITRK2	CDK4(A)	CooccurringMutuallyExclusiveMutuallyExclusive	41	23.992605184927505	0.14285714285714285	55.98274543149751	0	0	0	3.466666666666667	16.148868874470434	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	7.489349957297653e-07	0	60	0.0
33	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	MSH6	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.07891278375149342	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.9144220757659324e-20	0	190	0.0
34	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	C12orf35	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.07706093189964157	69.69702381377472	0	0	0	8.700000000000001	8.01115216250284	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	1.8321016586809277e-20	0	192	0.0
36	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	TP53	CooccurringMutuallyExclusiveMutuallyExclusive	175	16.11275281716297	0.15011718142647934	69.69702381377472	0	0	0	8.500000000000002	8.199649860444083	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	1.5488373541557982e-19	7	229	0.03056768558951965
37	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	LRRK2	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.07891278375149342	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.9144220757659324e-20	0	190	0.0
38	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	RB1	CooccurringMutuallyExclusiveMutuallyExclusive	150	16.11275281716297	0.08226926523297491	69.69702381377472	0	0	0	8.8	7.920116342474399	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	9.9995051192363036e-21	0	202	0.0
39	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	PIK3CG	CooccurringMutuallyExclusiveMutuallyExclusive	143	16.11275281716297	0.0843869392256489	69.69702381377472	0	0	0	8.500000000000002	8.199649860444083	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.7782371428637301e-20	0	192	0.0
40	SEMG1	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.08258579377809461	69.69702381377472	0	0	0	8.500000000000002	8.199649860444083	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	7.6191985922204623e-20	0	191	0.0
41	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	SLIT3	CooccurringMutuallyExclusiveMutuallyExclusive	144	16.11275281716297	0.08621844105715072	69.69702381377472	0	0	0	8.533333333333333	8.167619978176726	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.546624080682144e-20	0	192	0.0
42	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	RB1(D)	CooccurringMutuallyExclusiveMutuallyExclusive	155	16.11275281716297	0.11590095278569211	69.69702381377472	0	0	0	8.533333333333333	8.167619978176726	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	8.1119256282967757e-20	0	201	0.0
43	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	CACNA1S	CooccurringMutuallyExclusiveMutuallyExclusive	143	16.11275281716297	0.0843869392256489	69.69702381377472	0	0	0	8.500000000000002	8.199649860444083	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.7782371428640671e-20	0	192	0.0
44	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	C7	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.07891278375149342	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.9144220757659324e-20	0	190	0.0
45	MYCNOS,MYCN(A)	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	CooccurringMutuallyExclusiveMutuallyExclusive	143	16.11275281716297	0.08255543739414707	69.69702381377472	0	0	0	8.500000000000002	8.199649860444083	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	6.6628422039741748e-20	0	192	0.0
46	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	IGHMBP2	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.08076463560334528	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	8.3471057513630861e-20	0	190	0.0
47	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	PTCHD2	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.08078532668548886	69.69702381377472	0	0	0	8.433333333333334	8.264469226929808	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	9.6936902084322158e-20	0	189	0.0
48	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	PTPRS	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.08076463560334528	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	8.3471057513630861e-20	0	190	0.0
49	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	SUPT6H	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.07890255252579259	69.69702381377472	0	0	0	8.533333333333333	8.167619978176726	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	5.4281971076874808e-20	0	191	0.0
50	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	ADCY1	CooccurringMutuallyExclusiveMutuallyExclusive	143	16.11275281716297	0.08072393556264523	69.69702381377472	0	0	0	8.533333333333333	8.167619978176726	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	5.8943714123593781e-20	0	192	0.0
51	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.08078532668548886	69.69702381377472	0	0	0	8.433333333333334	8.264469226929808	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	9.6936902084322158e-20	0	189	0.0
52	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	NOTCH2	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.07890255252579259	69.69702381377472	0	0	0	8.533333333333333	8.167619978176726	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	5.428197107687482e-20	0	191	0.0
53	SPEN	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.0807441731519436	69.69702381377472	0	0	0	8.5	8.199649860444085	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	7.0672553909417334e-20	0	191	0.0
54	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	ABCA4	CDKN2A(D)	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.07891278375149342	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	6.9144220757666486e-20	0	190	0.0
55	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	MAP3K15	CooccurringMutuallyExclusiveMutuallyExclusive	141	16.11275281716297	0.07891278375149342	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	6.9144220757659324e-20	0	190	0.0
56	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	CDKN2A(D)	GPR116	CooccurringMutuallyExclusiveMutuallyExclusive	142	16.11275281716297	0.08261648745519713	69.69702381377472	0	0	0	8.466666666666667	8.231931946508825	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	8.6058046733727682e-20	0	190	0.0
64	MYO15A	EGFR(A)	RIMBP2	CooccurringMutuallyExclusiveMutuallyExclusive	94	24.583829661100204	0.07384403036576949	114.72453841846762	0	0	0	3.5666666666666664	32.16575843508438	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	4.5516569390621618e-06	0	140	0.0
65	QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)	MYH9	SIPA1L2	CooccurringMutuallyExclusiveMutuallyExclusive	43	24.719324605617043	0.09999999999999999	82.39774868539014	0	0	0	3.3333333333333335	24.71932460561704	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	4.1243021031799345e-06	0	63	0.0
70	MYOM3	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	26.438634270757067	0.08890957997103248	105.75453708302827	0	0	0	3.0	35.251512361009425	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00022326980606754887	0	181	0.0
71	KIAA1409	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	22.83218509974625	0.12039106145251395	68.49655529923876	0	0	0	3.6	19.02682091645521	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	4.7486640844315367e-06	1	181	0.0055248618784530384
72	KIAA0649	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	24.837517921594372	0.08890957997103248	99.35007168637749	0	0	0	3.0	33.11669056212583	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00022326980606754887	0	181	0.0
73	CDKN2A(D)	EP400	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	125	24.59516879632372	0.09068091652497773	98.38067518529488	0	0	0	3.5333333333333337	27.843587316592888	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	9.3579464187637478e-06	1	185	0.005405405405405406
74	C12orf35	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	123	24.152297517856653	0.1287243947858473	64.40612671428441	0	0	0	3.9	16.514391465201133	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	5.3586989454180619e-07	0	182	0.0
75	SPTBN4	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.04391751627888	0.148433389494842	58.43580753798406	0	0	0	3.766666666666666	15.513931204774531	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	9.3810511502518905e-07	1	181	0.0055248618784530384
76	RERE	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	26.543117258829934	0.08705772811918062	106.17246903531974	0	0	0	3.1666666666666665	33.52814811641676	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	8.4807910831824924e-05	0	182	0.0
77	CDKN2A(D)	KIF1B	LRRK2	CooccurringMutuallyExclusiveMutuallyExclusive	122	27.02138277174066	0.08890957997103248	108.08553108696265	0	0	0	3.0	36.02851036232088	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	0.00022326980606752575	0	181	0.0
78	CDKN2A(D)	KIF1B	RB1	CooccurringMutuallyExclusiveMutuallyExclusive	130	24.014974933439632	0.05655177573822825	168.10482453407744	0	0	0	3.4	49.442595451199246	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	3.7965712979052838e-05	1	193	0.0051813471502590676
79	CDKN2A(D)	SLIT3	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	124	25.830072348982785	0.08980498086643339	111.93031351225873	0	0	0	3.4333333333333336	32.60106218803652	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	2.3026295238331937e-05	0	182	0.0
80	CDKN2A(D)	ESPL1	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	26.160621567300876	0.1305660154119983	69.76165751280233	0	0	0	3.733333333333333	18.686158262357768	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	1.5876888697010972e-06	0	181	0.0
82	ATP10B	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.78853925304592	0.132428098489551	68.76943800812245	0	0	0	3.6666666666666665	18.755301274942486	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	2.4414380378505814e-06	0	180	0.0
83	CDKN2A(D)	IGHMBP2	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	26.087936223130487	0.08150217256362506	117.3957130040872	0	0	0	2.9333333333333336	40.021265796847906	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	0.00043549420716760808	0	181	0.0
84	CDKN2A(D)	PTCHD2	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	121	25.740193586516	0.15030593242883744	60.06045170187067	0	0	0	3.733333333333333	16.087620991572503	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	1.3151786611163121e-06	0	179	0.0
85	EVPL	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	124	26.1187381893447	0.09827647294448283	95.76870669426391	0	0	0	3.5666666666666664	26.851039260073996	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	7.4685548297684676e-06	0	183	0.0
86	PCDHA2	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.3699930634019	0.132428098489551	67.6533148357384	0	0	0	3.6666666666666665	18.450904046110473	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	2.4414380378505814e-06	0	180	0.0
87	CDKN2A(D)	ADCY1	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	123	25.580163007345863	0.10738739844885097	85.26721002448622	0	0	0	3.5666666666666664	23.906694399388662	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	5.6107078812845476e-06	0	182	0.0
88	PCDHA8	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	122	25.358492675281585	0.1305660154119983	67.62264713408423	0	0	0	3.733333333333333	18.113209053772565	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.5876888697015343e-06	0	181	0.0
90	MYO15A	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	125	25.35020259055418	0.08239934302601293	118.30094542258618	0	0	0	3.4	34.79439571252535	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	2.6998174604538569e-05	1	185	0.005405405405405406
91	SCN5A	CDKN2A(D)	KIF1B	CooccurringMutuallyExclusiveMutuallyExclusive	123	24.833411887319713	0.11851874714926043	74.50023566195914	0	0	0	3.633333333333333	20.504652017052976	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	3.8996959754746735e-06	1	182	0.005494505494505495
108	PTEN	PLCB3	GRHL3	CooccurringMutuallyExclusiveMutuallyExclusive	57	22.09995454768705	0.125	58.93321212716547	0	0	0	3.6	16.370336701990407	MutuallyExclusive	MutuallyExclusive	Cooccurring	False	False	False	3	9.3882099798621026e-07	0	84	0.0
109	PCDHA2	PCDHA8	CDKN2A(D)	CooccurringMutuallyExclusiveMutuallyExclusive	123	24.50173568435934	0.11665643544096582	73.50520705307802	0	0	0	3.633333333333333	20.230790932039827	Cooccurring	MutuallyExclusive	MutuallyExclusive	False	False	False	3	2.9442151269782982e-06	0	182	0.0
112	PCDHA8	CDKN2A(D)	ESPL1	CooccurringMutuallyExclusiveMutuallyExclusive	123	25.292364188258315	0.11479435236341312	75.87709256477496	0	0	0	3.6999999999999997	20.507322314804043	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.9146492823649252e-06	0	183	0.0
113	PCDHA8	CDKN2A(D)	NOTCH2	CooccurringMutuallyExclusiveMutuallyExclusive	123	23.28466653397935	0.11479435236341312	69.85399960193806	0	0	0	3.6999999999999997	18.879459351875152	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.9146492823649252e-06	0	183	0.0
114	PCDHA8	CDKN2A(D)	ATP10B	CooccurringMutuallyExclusiveMutuallyExclusive	123	24.920281874003358	0.11665643544096582	74.76084562201008	0	0	0	3.633333333333333	20.576379528993602	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	2.9442151269782982e-06	0	182	0.0
115	PCDHA8	CDKN2A(D)	ANO2	CooccurringMutuallyExclusiveMutuallyExclusive	124	22.22500882421748	0.0925414364640884	88.90003529686992	0	0	0	3.5	25.400010084819975	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.3948731406189836e-05	1	184	0.005434782608695652
116	PCDHA8	CDKN2A(D)	SLIT3	CooccurringMutuallyExclusiveMutuallyExclusive	125	24.961814969940225	0.08242770121223159	116.48846985972105	0	0	0	3.4	34.26131466462384	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	2.7622219220226015e-05	0	184	0.0
117	PCDHA8	CDKN2A(D)	MSH6	CooccurringMutuallyExclusiveMutuallyExclusive	123	25.956808663935853	0.07776754655207693	116.80563898771135	0	0	0	3.033333333333333	38.50735351243232	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	0.00020200811971740206	0	183	0.0
118	PCDHA8	CDKN2A(D)	PTCHD2	CooccurringMutuallyExclusiveMutuallyExclusive	122	24.87193620747344	0.1305660154119983	66.32516321992917	0	0	0	3.733333333333333	17.765668719623886	MutuallyExclusive	Cooccurring	MutuallyExclusive	False	False	False	3	1.5876888697015341e-06	0	181	0.0
